UserName,Handle,Timestamp,Comments,Rate,Likes,Retweets
Andrew Fine,@AFineBlogger,2022-05-10T14:47:27.000Z,I agree. We need actual police making traffic stops in person. The traffic cams are great for income but do little to determine bad behavior. Just ask Jumaane and his 27 school zone violations.,,,,1
helen gigante,@hgigante,2022-05-10T14:47:27.000Z,"That’s time limited…give it up, Choresh. Welcome to NYC..don’t like it, maybe NYC isn’t for you",,2,,
NoHo,@NoHo_NY,2022-05-10T14:47:27.000Z,"We love these plantings, great job neighbors!",,1,,1
jerrick,@jerrickh,2022-05-10T14:47:27.000Z,"2
2",,2,,2
dope mactavish,@helplessdelta,2022-05-10T14:47:27.000Z,"2
2
16",,2,2,16
Union Square,@UnionSquareNY,2022-05-10T14:47:27.000Z,,,,3,6
One Medical,@onemedical,2022-05-10T14:47:27.000Z,"onemedical.com
Learn More",,,,19
NeverForget_WhoProlongedThePandemic,@NeverForget2007,2022-05-10T14:47:27.000Z,Cameras don’t work. They just raise revenue. You’d know that if you weren’t an appointed shill for transportation lobbyists instead of someone that actually had experience doing this job. Or any job for that matter.,,,,
"Todd ""TJ” Stein",@steintoddjnyc,2022-05-10T14:47:27.000Z,"I am continually worried about when my parents home health aides take them out to the senior center about the dangerously conditions, especially since both are in wheelchairs! #saferstreets",,,,
"Todd ""TJ” Stein",@steintoddjnyc,2022-05-10T14:47:27.000Z,"It truly frightens me.  I look all ways but still worry, having suffered a significant accident with two major spine surgeries in the last 12 months, with bolts, screws, rods and cages… I know accidents happen in seconds!",,,,
Shabazz Stuart,@ShabazzStuart,2022-05-10T14:47:27.000Z,,,6,20,110
streeter,@_streeter,2022-05-10T14:47:27.000Z,"Or how about keeping them out of school zones. BH has a couple schools where these trucks are idling and being noisy directly in front of school doors, 
@thebhanow
 @CMRestler",,,,
Terry M,@miguel1025,2022-05-10T13:13:35.000Z,"On East 116th street and 2nd Ave there is a traffic light, on that light you have The Red light for Car stops,the there is the Green light for go, there is also a Red light for Bikes, one big problem is cars and bikes can turn on green",,,,
Karen Michele,@empress88,2022-05-10T13:13:35.000Z,"They are now owned by Nexstar Media, that's what happened. I only watch it for the weather.",,2,,3
SoHo Broadway,@sohobroadway,2022-05-10T13:13:35.000Z,,,1,,5
Brooklyn Heights Association,@thebhanow,2022-05-10T13:13:35.000Z,"Bora Chang, MPH
@Borabeet
 · May 9
Extremely nyc tweet but can we get all Mister Softee trucks to run on solar power, is it feasible? 

They park near where kids are all(!) the(!!) time(!!!) sputtering fumes for everyone to choke on",,1,,2
nathe,@natethenoodle,2022-05-10T13:13:35.000Z,I would love to see the stats for this! Here’s some food for thought,,1,1,2
NY1 Noticias,@NY1noticias,2022-05-10T13:13:35.000Z,"ny1noticias.com
DOT propone que las cámaras de velocidad funcionen 24 horas
Comisionado DOT, Ydanis Rodríguez, lo consulta en Albany.",,,,
Choresh Wald,@Choresh2,2022-05-10T13:13:35.000Z,"0:07
21 views",,1,1,4
Misgivings #3,@lacunalingua_3,2022-05-10T13:13:35.000Z,So infuriating,,,,
Conrad C. Fried,@ConradSaid,2022-05-10T13:13:35.000Z,You just gripe at bike people instead? Lol that seems productive. Does the city reward you for being a good little boy?,,,,
Choresh Wald,@Choresh2,2022-05-10T13:13:35.000Z,,,1,1,8
Balenciaga,@BALENCIAGA,2022-05-10T13:13:35.000Z,"balenciaga.com
Balenciaga",,7,15,8
Bike New York,@bikenewyork,2022-05-10T13:13:35.000Z,"Bike New York
@bikenewyork
 · May 4
Hi @NYC_DOT, how long will these pinch-points remain on the Williamsburg Bridge bikeway? They cut capacity in half at 6 or so places now. Peak cycling season is here

Some of these have been in place for months, yet your crews are rarely present. There’s gotta be a better way
Show this thread",,3,,31
positracktion,@posityype,2022-05-10T13:13:35.000Z,"yes literally every time a driver double parks ( in the bike lane or not) so about 2-3 times on every block, every day. ",,,,1
Jen Kirby,@j_kirby1,2022-05-10T13:13:35.000Z,,,1,,
Quaina_86,@quaineH,2022-05-10T11:18:12.000Z,,,,,
Dj Pausecut,@DjPausecut,2022-05-10T11:18:12.000Z,,,,,
placard corruption,@placardabuse,2022-05-10T11:18:12.000Z,Families For Safe Streets and 9 others,,1,2,12
Peter Nigrini,@peter_nigrini,2022-05-10T11:18:12.000Z,,,,,
Eric,@EC_Bklyn,2022-05-10T11:18:12.000Z,Totally agreed.,,,1,1
Eric,@EC_Bklyn,2022-05-10T11:18:12.000Z,A $50 fine will not slow a driver who is driving impaired or driving with fraudulent paper plates. Speed cameras are nothing but revenue generators. Car stops and check points where motorist's vehicle can be ticketed and seized is a better alternative,,,,1
Cinder,@Cinderpuppy,2022-05-10T11:18:12.000Z,Without police visible on streets vision zero will never work. Same goes for any legislation re noisy vehicles. It’s all theater.,,1,,1
Outback Steakhouse,@Outback,2022-05-10T11:18:12.000Z,"outback.com
Click to order!",,79,240,"1,085"
Anne Hedonya,@AnneHedonya,2022-05-10T11:18:12.000Z,,,,,
Enginenerd,@Enginnerd123,2022-05-10T11:18:12.000Z,"Speed cameras are great because they A pay for themselves B cause drivers to slow down saving lives, and C are much much less biased then police when it comes to traffic enforcement",,,,
Amy,@Lillies_Requiem,2022-05-10T11:18:12.000Z,"The speed limit dropped to 25mph in NYC, how is this still a problem?!",,,,2
Mike,@IDontrustBiden,2022-05-10T11:18:12.000Z,Do you expect people to take the subway when people are getting stabbed and shot there constantly?,,,,
Empower Mental Training,@EMTmentalskills,2022-05-10T11:18:12.000Z,Your weak position on public safety is putting innocent people at risk across the city. Tweeting at a city agency does nothing.,,,,
U.S. Global Investors,@USFunds,2022-05-10T11:18:12.000Z,,,,4,6
Bosch Appliances US,@BoschHomeUS,2022-05-10T02:59:35.000Z,"bosch-home.com
Live #LikeABosch",,,15,75
ARusso,@ARusso70767162,2022-05-10T02:59:35.000Z,Dems politicize everything!..like when Adams held up kids sneaker at press conference! Was that really necessary!,,,,1
ARusso,@ARusso70767162,2022-05-10T02:59:35.000Z,"B.S photo op, #gettingnothingdone none of those things are enforceable by DOT...how about putting speed cameras on highways and parkways. Why only on streets.",,,,
LES Dwellers,@LESdwellers,2022-05-10T02:59:35.000Z,"Kirsten Theodos
@kirstentheodos
 · May 9
Evidently, we are at the stage where a business can close and abandon its vacant shed and it can stay there indefinitely.

#JustLikeParis 

⁦@CueUpNYC⁩ ⁦@LESdwellers⁩ ⁦@berrystalliance⁩",,,4,7
Gary Wilkins,@Glw135Wilkins,2022-05-10T02:59:35.000Z,Please - we see through that — ITS A MONEY GRAB - y’all already nickel & dime nyc citizens to death !!! When will you realize the people committing these crimes will do so camera or not !!!! Don’t use this as a push for 24/7 cams - all this stuff is happening with cams everywhere,,,,3
Ricardo Pacheco,@RPachecoJH,2022-05-10T02:59:35.000Z,@HomerNala,,,,
radica,@radica32113943,2022-05-10T02:59:35.000Z,"Yep I reported dozen of times similar things I have never seen any action I give up at this point I ignore anything I see wrong , I’m only praying to be ok and get to work and back, I’m not ignorant I just don’t see the purpose of my “trying” nothing I can do.. sorry ",,,,
Conrad C. Fried,@ConradSaid,2022-05-10T02:59:35.000Z,Who said it would?,,,,
JQ LLC: The Impunity City,@ImpunityCity,2022-05-10T02:59:35.000Z,And your representative is still partying. Yukking it up with environmentalists.,,,,
Crandog,@Crandog2,2022-05-10T02:59:35.000Z,"How about this 
@NYC_DOT
 your 
@NYCMayorsOffice
 sounds big on rules.",,,1,1
WedNightDinner,@DinnerWed,2022-05-10T02:59:35.000Z,"Unique Minority
@ModerateMuslim_
 · May 9
Replying to @zuniga_martin and @NYCMayor",,,,1
Bosch Appliances US,@BoschHomeUS,2022-05-10T02:59:35.000Z,"bosch-home.com
The Indy Range Collection",,,13,60
Ricardo Pacheco,@RPachecoJH,2022-05-10T02:59:35.000Z,"Meanwhile in Jackson Heights…
@NYCMayor
 @Pb3Banks
 @NYC_DOT
 @NYCMayorsOffice
 @JHCoopsAlliance
 @LESdwellers
 @NYCCouncil
 @Gloria69NY
 @QueensCrapper
 @TaleaWufka
 @CBSNewYork
 @communityboard3
 @QueensLatino
 @QueensLedger
 @NY1noticias
 @NY1
 @NYC_DOT",,2,,2
Punisher Justice,@JonGotham,2022-05-10T00:27:10.000Z,looks pretty clean guess he got that pizza,,,1,1
@megshashin,@megshashin,2022-05-10T00:27:10.000Z,,,1,,
bbkr82,@bbkr82,2022-05-10T00:27:10.000Z,"https://nyc.streetsblog.org/2022/05/07/truck-driver-gets-a-few-summonses-for-killing-borough-park-cyclist-as-mta-workers-continue-dangerous-parking/…  
@ydanis",,,,1
bbkr82,@bbkr82,2022-05-10T00:27:10.000Z,https://nyc.streetsblog.org/2022/05/07/truck-driver-gets-a-few-summonses-for-killing-borough-park-cyclist-as-mta-workers-continue-dangerous-parking/…  shameful,,,,
bbkr82,@bbkr82,2022-05-10T00:27:10.000Z,,,,,
bbkr82,@bbkr82,2022-05-10T00:27:10.000Z,"nyc.streetsblog.org
Truck Driver Gets a Few Summonses for Killing Borough Park Cyclist as MTA Workers Continue Danger...
Meanwhile, one local Assembly member blamed cyclists.",,,,
@megshashin,@megshashin,2022-05-10T00:27:10.000Z,4 MTA workers are there chatting and doing anything! They don’t even take a video,,,,
Jay Gatsby,@JayGats833,2022-05-10T00:27:10.000Z,Let's take a 30 second video instead of calling 911 and requesting an ambulance. ,,1,,1
NBA,@NBA,2022-05-10T00:27:10.000Z,"Michelob ULTRA
0:15
Video will play after ad
5",,13,37,358
That Balled Guy,@Jorge_OhWell,2022-05-10T00:27:10.000Z,Again. How does a camera stop someone from getting under the influence and then driving?,,1,,2
Matthew Groza,@mttgza,2022-05-10T00:27:10.000Z,But the cops are blocking the bike lanes in that photo!!,,,,
paco (dave) abraham,@subtle116,2022-05-10T00:27:10.000Z,"I think it’s just remarkably depressing that even a new 
@NYC_DOT
 commissioner can’t get the agency to do some as paint a line on the ground 7 months after it was removed.  No wonder people dying on our streets daily. #visionzero is still more a concept than a plan at DOT.",,,1,3
Conrad C. Fried,@ConradSaid,2022-05-10T00:27:10.000Z,Did you miss the 31% stat?,,1,,
Pedro 我是纽约人,@_pjrt,2022-05-10T00:27:10.000Z,1,,,,1
Balenciaga,@BALENCIAGA,2022-05-10T00:27:10.000Z,"balenciaga.com
Balenciaga",,11,22,10
NYCT Subway. Wear a Mask.,@NYCTSubway,2022-05-09T22:04:20.000Z,Good afternoon. Thanks for letting us know. We'll report this and get them the help they need. ^KB,,1,,1
Punisher Justice,@JonGotham,2022-05-09T22:04:20.000Z,its called the herorin lean,,,,
Punisher Justice,@JonGotham,2022-05-09T22:04:20.000Z,he is  a high drug addict   not much change for him,,,,
Punisher Justice,@JonGotham,2022-05-09T22:04:20.000Z,to help him u can call 911   just dont giv him $$,,,,
@megshashin,@megshashin,2022-05-09T22:04:20.000Z,"0:31
499 views",,5,1,
Srdr,@srdrgcl,2022-05-09T22:04:20.000Z,"Also, are there any school open after 10 pm ?",,,,5
Srdr,@srdrgcl,2022-05-09T22:04:20.000Z,Really ? Why don't you just say we need more money,,1,,4
That Balled Guy,@Jorge_OhWell,2022-05-09T22:04:20.000Z,How does a camera stop someone from driving under the influence?,,1,,6
Bosch Appliances US,@BoschHomeUS,2022-05-09T22:04:20.000Z,"bosch-home.com
The Bosch Kitchen Package Design Tool",,,14,42
NYC DOT,@NYC_DOT,2022-05-09T22:04:20.000Z,,,12,15,44
NYC DOT,@NYC_DOT,2022-05-09T22:04:20.000Z,"ALT
Mark D. Levine and 3 others",,10,9,21
Ricardo Pacheco,@RPachecoJH,2022-05-09T22:04:20.000Z,"@LESdwellers
 @JHCoopsAlliance
 @BringBackNYC
 @NYCMayorsOffice
 @NYCMayor
 @NYC_DOT
 @Pb3Banks
 @NYCSanitation
 @NYCCouncil
 @Gloria69NY
 @NYSenateDems",,,,
r3y,@shac72419569,2022-05-09T22:04:20.000Z,1,,1,,
inwoodKTH (keeping them honest),@InwoodKth,2022-05-09T22:04:20.000Z,Exactly.  It’s all BS.,,,,
Balenciaga,@BALENCIAGA,2022-05-09T22:04:20.000Z,"balenciaga.com
Balenciaga",,9,22,12
Twitter Marketing,@TwitterMktg,2022-05-09T20:00:02.000Z,ALT,,9,22,75
NYC DOT,@NYC_DOT,2022-05-09T20:00:02.000Z,ALT,,,1,4
Al Ngu,@alngu,2022-05-09T20:00:02.000Z,511 just told me to call 311!!!,,,,
Coney Island Whitefish,@BWT5011,2022-05-09T20:00:02.000Z,69 years . He had a good run followed by a good drag .,,,,
Al Ngu,@alngu,2022-05-09T20:00:02.000Z,Thanks,,,,
NYC DOT,@NYC_DOT,2022-05-09T20:00:02.000Z,This is MTA property. Please call 511 regarding this location.,,3,,
Jessie Singer,@JessieSingerNYC,2022-05-09T20:00:02.000Z,"My buddy 
@miatkowski
 always knows the answer.",,,,2
Peter W Beadle,@pwbnyc,2022-05-09T20:00:02.000Z,This is great. Though hoping lanes on QCP service road will be brought as far south as possible to provide additional connections through the neighborhood and hopefully reach Jewel Ave to  give riders a safe alternative to the meat grinder current cross-park lanes drop them in to,,,,3
Max,@Max46695146,2022-05-09T20:00:02.000Z,Thanks. Submitted both.,,,,
TransitCenter,@TransitCenter,2022-05-09T20:00:02.000Z,"transitcenter.org
Setting NYC’s Buses Up for Success
How can agency leaders work together to provide great bus service in New York City, given the effects of COVID? What do they view as the major challenges to overcome, and how do they intend to move...",,,3,6
Andrew Hevesi,@AM_AndrewHevesi,2022-05-09T20:00:02.000Z,"NYC DOT
@NYC_DOT
 · May 9
This month, NYC DOT will begin a safety improvement project on 62nd Dr, 63rd Rd & Grand Central Pkwy Ser. Rd in #Queens. This work will: 
Add protected #BikeNYC lanes
Update curb regulations
Remove travel lanes
 Shorten crossings
ALT",,,1,2
Twitter Marketing,@TwitterMktg,2022-05-09T20:00:02.000Z,"marketing.twitter.com
The Conversation: Talking shop on Twitter
Twitter is where shoppers go year-round to connect and get real-life recommendations.",,8,3,47
Paul Krikler (he/him),@PaulKrikler,2022-05-09T20:00:02.000Z,,,1,1,3
NYC DOT,@NYC_DOT,2022-05-09T20:00:02.000Z,ALT,,4,5,17
New York City 311,@nyc311,2022-05-09T18:34:04.000Z,"@NYCTBus
 Thank you for looping us in! Good afternoon 
@nyc1cap
 @NYC_DOT
 @NYCMayor
 @PANYNJ
, you can request a new pedestrian ramp with the Department of Transportation by visiting http://on.nyc.gov/38dWBqg, or feel free to DM us for filing assistance. Thanks!",,,,1
Pearliana,@_P_Doll,2022-05-09T18:34:04.000Z,,,,,
NYCT Bus. Wear a Mask.,@NYCTBus,2022-05-09T18:34:04.000Z,Is the the B41 on Veterans Ave/East 70 St? ^JP,,,,
NYCT Bus. Wear a Mask.,@NYCTBus,2022-05-09T18:34:04.000Z,"Good afternoon. We'll loop in our friends at 
@nyc311
 to assist further. ^JP",,1,,
NYCT Bus. Wear a Mask.,@NYCTBus,2022-05-09T18:34:04.000Z,Good afternoon. We'll check in with our bus teams to see if this was a permanent bus stop removal. Could have been removed to redo the concrete there. ^JP,,,,
Punisher Justice,@JonGotham,2022-05-09T18:34:04.000Z,if  i followed him into the store  and slashed his tires   im sure he can explain  to the cops why he has a stolen bike and shop lifting,,,,
Preserve Our Brooklyn Neighborhoods,@infopobn,2022-05-09T18:34:04.000Z,"Unique Minority
@ModerateMuslim_
 · May 9
Replying to @zuniga_martin and @NYCMayor
0:04
3,497 views",,,,
NBA,@NBA,2022-05-09T18:34:04.000Z,"Michelob ULTRA
0:07
Video will play after ad
7",,11,63,383
Punisher Justice,@JonGotham,2022-05-09T18:34:04.000Z,he probably has done this many times before   and resells the products on  Offer Up App,,,,
Punisher Justice,@JonGotham,2022-05-09T18:34:04.000Z,lol    u have to think like a criminal to fight criminals!,,,,
Yo,@MrWillJHolla,2022-05-09T16:59:19.000Z,,,2,,
Balenciaga,@BALENCIAGA,2022-05-09T16:59:19.000Z,"balenciaga.com
Balenciaga",,7,15,8
Punisher Justice,@JonGotham,2022-05-09T16:59:19.000Z,he was going to fill that bag up robbing the store  and ride away,,1,,1
Punisher Justice,@JonGotham,2022-05-09T16:59:19.000Z,first  he stole that bike  two  he probably was going to steal from the store,,,,
Punisher Justice,@JonGotham,2022-05-09T16:59:19.000Z,looks like food uber guy,,,,1
Punisher Justice,@JonGotham,2022-05-09T16:59:19.000Z,crime fighting meg!,,,,
Choresh Wald,@Choresh2,2022-05-09T16:59:19.000Z,You have more power than tweeting at city agencies.,,,,18
@megshashin,@megshashin,2022-05-09T16:59:19.000Z,,,2,1,5
Berry St. Alliance,@berrystalliance,2022-05-09T16:59:19.000Z,"#freeberryst #openstreet is barricaded in conflict with sanitation hours. 
@NYC_DOT
 @LincolnRestler
 @EmilyAssembly
 not working with residents. They conceded authority of municipal property to a private group based in greenpoint that has received at least $35K as OS  “partners”",,,,1
J. RueMel Parkin,@RueMelNYC,2022-05-09T16:59:19.000Z,,,,,1
NYC DOT,@NYC_DOT,2022-05-09T16:59:19.000Z,Please contact the NY State DOT regarding the Major Deegan Expressway.,,,,
Julie Menin,@JulieMenin,2022-05-09T16:59:19.000Z,"uppereastsite.com
69-year-old Man Struck & Dragged by Box Truck on the UES, Critically Injured - Upper East Site
MANHATTAN – A gruesome collision unfolded on Second Avenue near East 90th Street on the Upper East Side Monday morning as a box truck delivering produce struck a 69-year-old man and dragged him on...",,15,28,114
Walmart,@Walmart,2022-05-09T16:59:19.000Z,"Drag to rotate
This page includes one or more 3D models that are loading
Shop now",,30,68,255
NYC DOT,@NYC_DOT,2022-05-09T16:59:19.000Z,"To share transportation suggestions with the Commissioner and receive follow up, please visit: http://bit.ly/contactDOTCommissioner…",,,,
Tony. D,@nyc1cap,2022-05-09T16:59:19.000Z,,,2,,
NYC DOT,@NYC_DOT,2022-05-09T15:37:21.000Z,"We will forward your suggestion to the appropriate unit. If you would like follow up, please visit: http://bit.ly/contactDOTCommissioner…",,1,,
Alan Haines,@ahbuildny,2022-05-09T15:37:21.000Z,"Appreciate the outreach. But how can the streets be swept if there is no alternate side of the street parking on Center Blvd? The garbage, weeds & general filth is between & beneath the cars, trucks & stretched limos that never move. 
@NYC_DOT
 . Never seen a street sweeper here",,1,,
joseph,@jtedeschi1968,2022-05-09T15:37:21.000Z,,,1,1,5
LES Dwellers,@LESdwellers,2022-05-09T15:37:21.000Z,"Bowery Boogie
@boweryboogie
 · May 9
Saigon Social Vows Return After Fire Last Week https://buff.ly/390K5i7",,1,3,5
NYC DOT,@NYC_DOT,2022-05-09T15:37:21.000Z,"NYC DOT
@NYC_DOT
 · Apr 26
NYC DOT is hosting a design workshop to collect community feedback on a design proposal for the Berry Open Streets in #Brooklyn.

Join us on 5/14 from 12-4PM on Berry St between North 6th St and North 7th St.
ALT
ALT
ALT",,,,3
NeverForget_WhoProlongedThePandemic,@NeverForget2007,2022-05-09T15:37:21.000Z,"Thanks, forgot to add empty 
@BKLYNlibrary
 sheds to the list.",,,,
NYC Sanitation,@NYCSanitation,2022-05-09T15:37:21.000Z,"@NeverForget2007
 @NYC_DOT
 Hi, thanks for your comment. Looping in 
@nyc311
 for assistance filing outdoor dining complaint.",,1,,
Snail He/Him,@extrapostage,2022-05-09T15:37:21.000Z,,,,,
Twitter Marketing,@TwitterMktg,2022-05-09T15:37:21.000Z,"marketing.twitter.com
The Conversation: Talking shop on Twitter
Twitter is where shoppers go year-round to connect and get real-life recommendations.",,8,3,47
helen gigante,@hgigante,2022-05-09T15:37:21.000Z,"How to shoot yourself in the foot, Ana Maria",,,,
New York City 311,@nyc311,2022-05-09T15:37:21.000Z,"@OswaldDenis5
 @NYCMayor
 @NYCMayorsOffice
 @nycgov
 @NYC_DOT
 Good morning, thank you for providing a photo. Please send us a DM so we can ask you a few questions and provide you with assistance. Thank you.",,,,
Jason Cole,@JaysonColeRock,2022-05-09T15:37:21.000Z,Oh Sh!t ! I admire your diligence! ,,,,
New York City 311,@nyc311,2022-05-09T15:37:21.000Z,"@Max46695146
 @NYC_DOT
 Hi, thanks for providing the photos. You may report the overgrown grass online at http://on.nyc.gov/3sl2iOh; you can also report debris on the highway online at http://on.nyc.gov/3P9c147, or DM us if you need help with filing. Thank you.",,1,,
Steve Weintraub,@swein,2022-05-09T15:37:21.000Z,Speed cameras are a money grab. Good thing these heroes are sticking it to the man by slowing down and denying them all that ticket revenue!,,1,,2
VISIT FLORIDA,@VISITFLORIDA,2022-05-09T15:37:21.000Z,"visitflorida.com
Explore More",,8,,4
Shannon Manning,@shannonmanning,2022-05-09T14:33:48.000Z,,,,1,
New York City 311,@nyc311,2022-05-09T14:33:48.000Z,"@FreilechBucher
 @NYPD72Pct
 @NYC_DOT
 Hi, thank you for the photo. Always call 911 to report a dangerous situation or location. Please send us a DM so we can ask you a few questions and provide you with assistance.",,,,
Negro Patriot,@TheNegroPatriot,2022-05-09T14:33:48.000Z,Thank you ill continue as i find them,,,,
NYC DOT,@NYC_DOT,2022-05-09T14:33:48.000Z,"We will forward your suggestion to the appropriate unit. If you would like follow up, please visit: http://bit.ly/contactDOTCommissioner…",,1,,
melodie bryant,@bikeloveny,2022-05-09T14:33:48.000Z,"Shouting ""Share the road"" at them.",,,,4
NYC DOT,@NYC_DOT,2022-05-09T14:33:48.000Z,"We are forwarding this to the appropriate unit to address. For follow up, please visit: http://bit.ly/contactDOTCommissioner…",,,,
Myrtle W. Speaks,@Blurena,2022-05-09T14:33:48.000Z,omg… ,,,,
Will Griffin,@jwillyg,2022-05-09T14:33:48.000Z,"As someone who works in the industry, you cant track them w/out the software they use. They def aren't taking   shortcut through NYC. Also, who does everyone think brings the good you purchase on a daily basis to the city...",,1,,1
ʎɹɹǝſ,@upsidedownAFC,2022-05-09T14:33:48.000Z,"badge + gun = legislator, arbiter, executioner

this has to change",,,,
Pedro 我是纽约人,@_pjrt,2022-05-09T14:33:48.000Z,"Upper East Site
@uppereastsiteny
 · May 9
#BREAKING A gruesome collision unfolded on Second Avenue near East 90th Street on the #UES Monday morning when police say a box truck struck a 69-year-old man.

https://uppereastsite.com/69-year-old-man-struck-dragged-by-box-truck-critically-injured-upper-east-side-nyc/…",,,,
Barbie,@Barbie,2022-05-09T14:33:48.000Z,"0:03
mattel.com
A Doll Can Help Change The World",,,4,19
Janet Joy Wilson (she/her/fietser),@jsquaredink,2022-05-09T14:33:48.000Z,,,1,,1
Damaris Moné,@DamarisMone,2022-05-09T14:33:48.000Z,What does that have to do with vehicles that were in accidents being left on the streets? Also doesn’t justify why the vehicles aren’t towed if there are no plates. Thus illegally parked & subject to tow.,,,1,
Pedro 我是纽约人,@_pjrt,2022-05-09T14:33:48.000Z,"I think a better system is one that doesn't free rely on large trucks to begin with. And instead uses bikes and small trucks. It is still safer to drive in the day, and I'm sure the business neighbors would appreciate the quiet hours.",,,,
Barbie,@Barbie,2022-05-09T14:33:48.000Z,"0:05
mattel.com
A Doll Can Help Change The World",,,4,19
Walmart,@Walmart,2022-05-11T14:33:57.000Z,"Drag to rotate
This page includes one or more 3D models that are loading
Shop now",,30,68,255
Walmart,@Walmart,2022-05-11T13:40:44.000Z,"Drag to rotate
This page includes one or more 3D models that are loading
Shop now",,30,68,255
